year,manama_avg_temp,global_avg_temp,10Year MA Manama,10Year MA Global
1843,25.26,8.17,,
1844,25.71,7.65,,
1845,21.18,7.85,,
1846,,8.55,,
1847,,8.09,,
1848,25.12,7.98,,
1849,25.37,7.98,,
1850,24.95,7.9,,
1851,25.62,8.18,,
1852,25.44,8.1,,
1853,25.47,8.04,24.9,8.0
1854,25.26,8.21,,
1855,25.5,8.11,,
1856,25.15,8,,
1857,24.84,7.76,,
1858,25.57,8.1,,
1859,25.58,8.25,,
1860,25.5,7.96,,
1861,24.75,7.85,,
1862,24.46,7.56,,
1863,24.9,8.11,25.2,8.0
1864,25.46,7.98,,
1865,25.71,8.18,,
1866,25.38,8.29,,
1867,25.72,8.44,,
1868,25.61,8.25,,
1869,25.85,8.43,,
1870,25.6,8.2,,
1871,25.42,8.12,,
1872,25.49,8.19,,
1873,25.8,8.35,25.5,8.2
1874,25.58,8.43,,
1875,25.27,7.86,,
1876,25.49,8.08,,
1877,25.99,8.54,,
1878,25.96,8.83,,
1879,25.76,8.17,,
1880,25.32,8.12,,
1881,26.19,8.27,,
1882,25.24,8.13,,
1883,25.83,7.98,25.7,8.3
1884,25.42,7.77,,
1885,25.47,7.92,,
1886,25.65,7.95,,
1887,25.43,7.91,,
1888,25.75,8.09,,
1889,26.04,8.32,,
1890,25.54,7.97,,
1891,25.86,8.02,,
1892,25.89,8.07,,
1893,25.8,8.06,25.7,8.0
1894,25.33,8.16,,
1895,25.39,8.15,,
1896,25.44,8.21,,
1897,25.4,8.29,,
1898,25.26,8.18,,
1899,25.8,8.4,,
1900,25.83,8.5,,
1901,26.15,8.54,,
1902,25.92,8.3,,
1903,25.2,8.22,25.6,8.3
1904,25.64,8.09,,
1905,25.54,8.23,,
1906,25.48,8.38,,
1907,25.18,7.95,,
1908,25.64,8.19,,
1909,26.06,8.18,,
1910,25.16,8.22,,
1911,24.63,8.18,,
1912,25.5,8.17,,
1913,25.47,8.3,25.4,8.2
1914,25.71,8.59,,
1915,26.01,8.59,,
1916,25.29,8.23,,
1917,25.58,8.02,,
1918,25.23,8.13,,
1919,25.85,8.38,,
1920,25.55,8.36,,
1921,25.54,8.57,,
1922,25.96,8.41,,
1923,25.56,8.42,25.6,8.4
1924,26.24,8.51,,
1925,25.56,8.53,,
1926,25.75,8.73,,
1927,25.67,8.52,,
1928,25.73,8.63,,
1929,25.81,8.24,,
1930,25.78,8.63,,
1931,25.75,8.72,,
1932,25.36,8.71,,
1933,25.18,8.34,25.7,8.5
1934,25.41,8.63,,
1935,26.05,8.52,,
1936,25.5,8.55,,
1937,25.56,8.7,,
1938,25.77,8.86,,
1939,25.63,8.76,,
1940,26.04,8.76,,
1941,25.98,8.77,,
1942,26.2,8.73,,
1943,25.56,8.76,25.7,8.7
1944,26.01,8.85,,
1945,25.66,8.58,,
1946,26.5,8.68,,
1947,26.78,8.8,,
1948,25.43,8.75,,
1949,25.31,8.59,,
1950,25.36,8.37,,
1951,26.19,8.63,,
1952,26.09,8.64,,
1953,25.99,8.87,25.9,8.7
1954,26.31,8.56,,
1955,26,8.63,,
1956,25.62,8.28,,
1957,25.64,8.73,,
1958,26.19,8.77,,
1959,25.22,8.73,,
1960,26.2,8.58,,
1961,25.63,8.8,,
1962,26.43,8.75,,
1963,26.17,8.86,25.9,8.7
1964,25.36,8.41,,
1965,26.23,8.53,,
1966,26.55,8.6,,
1967,25.38,8.7,,
1968,25.85,8.52,,
1969,26.51,8.6,,
1970,26.25,8.7,,
1971,25.72,8.6,,
1972,25.33,8.5,,
1973,25.92,8.95,25.9,8.6
1974,25.84,8.47,,
1975,25.77,8.74,,
1976,25.64,8.35,,
1977,26.47,8.85,,
1978,26.2,8.69,,
1979,26.75,8.73,,
1980,26.48,8.98,,
1981,26.51,9.17,,
1982,25.45,8.64,,
1983,25.52,9.03,26.1,8.8
1984,25.89,8.69,,
1985,26.14,8.66,,
1986,26.25,8.83,,
1987,26.58,8.99,,
1988,26.56,9.2,,
1989,25.96,8.92,,
1990,26.26,9.23,,
1991,25.73,9.18,,
1992,25.09,8.84,,
1993,26.09,8.87,26.0,8.9
1994,26.66,9.04,,
1995,26.18,9.35,,
1996,26.76,9.04,,
1997,26.11,9.2,,
1998,27.54,9.52,,
1999,27.67,9.29,,
2000,26.99,9.2,,
2001,27.36,9.41,,
2002,27.19,9.57,,
2003,27.29,9.53,26.9,9.3
2004,27.07,9.32,,
2005,26.89,9.7,,
2006,27.15,9.53,,
2007,27.13,9.73,,
2008,26.96,9.43,,
2009,27.24,9.51,,
2010,28,9.7,,
2011,27.01,9.52,,
2012,27.45,9.51,,
2013,27.86,9.61,27.3,9.6
